route_id,stop_id,sequence,distance,count
56E,42166,49,12.762,35
56E,42168,50,12.903,35
56E,42842,51,13.102,35
56E,41922,52,13.2,35
56E,41920,53,13.351,34
56E,41918,54,13.607,34
56E,41917,55,13.796,34
56E,41914,56,14.027,34
56E,43152,57,14.349,34
56E,46444,58,14.624,35
63S,42895,1,0.481,28
63S,42894,2,0.708,28
63S,42891,3,0.937,28
63S,42889,4,1.171,28
63S,42887,5,1.399,28
63S,43009,6,1.574,28
63S,43007,7,1.797,28
63S,42579,8,1.982,28
63S,42577,9,2.335,28
63S,42575,10,2.595,28
63S,42573,11,2.859,28
63S,46166,12,3.163,28
63S,46167,13,3.363,28
63S,46168,14,3.639,28
63S,46169,15,3.915,28
63S,46170,16,4.191,28
63S,46171,17,4.355,28
63S,46172,18,4.539,28
63S,46173,19,4.772,28
63S,46174,20,4.962,28
63S,46175,21,5.123,28
63S,46176,22,5.32,28
63S,46177,23,5.542,28
63S,46302,24,5.746,28
63S,42740,25,5.929,28
63S,46178,26,6.201,28
63S,46179,27,6.351,28
63S,46180,28,6.728,28
63S,46181,29,6.991,28
63S,46182,30,7.21,28
63S,46183,31,7.509,28
63S,46184,32,7.781,28
63S,41961,33,8.052,28
63S,41954,34,8.231,28
63S,41955,35,8.486,28
63S,41949,36,8.72,28
63S,41947,37,9.287,28
63S,41944,38,9.388,28
63S,41960,39,9.658,28
63S,46355,40,9.812,28
63S,41932,41,9.928,28
63S,44163,42,10.763,26
63S,41931,43,11.595,26
63S,41964,44,11.91,28
63S,41966,45,12.144,28
63S,41941,46,12.44,28
63S,41958,47,12.839,28
63S,41937,48,13.135,28
63S,43147,49,13.484,28
63S,43148,50,13.682,28
63S,43507,51,13.985,28
63S,43509,52,14.197,28
63S,41342,53,14.46,28
63S,41360,54,14.636,28
63S,46186,55,14.852,28
63S,41925,56,15.049,28
63S,41923,57,15.224,28
63S,41512,58,15.47,28
63S,41518,59,15.586,28
63S,41516,60,15.86,28
63S,41514,61,15.996,28
63S,41691,62,16.157,28
63S,41689,63,16.333,28
63S,41687,64,16.49,28
63S,41239,65,16.649,28
63S,41237,66,16.782,28
63S,41235,67,17.017,28
63S,41233,68,17.25,28
63S,41231,69,17.672,28
63S,41228,70,17.962,28
63S,41226,71,18.261,28
63S,41224,72,18.517,28
63S,41222,73,18.774,28
46S,43084,1,0.316,32
46S,43082,2,0.562,32
46S,43080,3,0.908,32
46S,43078,4,1.06,32
